,Date,Open,High,Low,Close*,Adj Close**,Volume,MA10,MA20,Profit/ Loss
899,2-Oct-19,"26,425.86","26,438.04","25,974.12",26078.62,"26,078.62","309,640,000",29247.076,29589.3905,Profit
646,2-Oct-20,"27,536.39","27,861.43","27,382.94",27682.81,"27,682.81","392,770,000",29461.511,29228.564,Profit
1149,3-Oct-18,"26,833.47","26,951.81","26,789.08",26828.39,"26,828.39","280,130,000",29180.486,29332.547,Profit
898,3-Oct-19,"26,039.02","26,205.20","25,743.46",26201.04,"26,201.04","241,610,000",28352.218,29234.399,Profit
143,3-Oct-22,"28,855.25","29,647.79","28,855.25",29490.89,"29,490.89","397,830,000",27842.33,29213.425,Profit
1148,4-Oct-18,"26,784.08","26,793.82","26,471.61",26627.48,"26,627.48","289,600,000",27839.957,29276.4775,Loss
897,4-Oct-19,"26,271.70","26,590.74","26,271.70",26573.72,"26,573.72","221,310,000",27840.025,28912.6905,Profit
394,4-Oct-21,"34,312.96","34,410.28","33,821.58",34002.92,"34,002.92","396,860,000",28458.627,29345.8945,Profit
142,4-Oct-22,"29,826.67","30,325.05","29,826.67",30316.32,"30,316.32","375,640,000",28057.613,29459.14,Profit
1147,5-Oct-18,"26,632.77","26,676.16","26,301.81",26447.05,"26,447.05","267,100,000",28024.924,29024.6955,Profit
645,5-Oct-20,"27,825.42","28,162.64","27,825.42",28148.64,"28,148.64","318,210,000",28231.926,28739.501,Profit
393,5-Oct-21,"34,035.25","34,490.95","34,035.25",34314.67,"34,314.67","311,520,000",28895.112,29178.3115,Profit
141,5-Oct-22,"30,078.36","30,454.46","29,886.44",30273.87,"30,273.87","290,610,000",29239.66,29210.073,Profit
644,6-Oct-20,"28,214.24","28,354.48","27,728.03",27772.76,"27,772.76","435,030,000",29396.832,28874.525,Profit
392,6-Oct-21,"34,198.96","34,432.68","33,854.69",34416.99,"34,416.99","322,170,000",29889.442,28865.886,Profit
140,6-Oct-22,"30,206.13","30,329.61","29,859.34",29926.94,"29,926.94","306,840,000",30219.388,29029.6725,Loss
